time,knowing,avg_belief,disp
3307.0,0.01,1.0,0.9822691538052335
3308.0,0.01,1.0,0.9822691538052335
3309.0,0.01,1.0,0.9822691538052335
3310.0,0.01,1.0,0.9822691538052335
3311.0,0.01,1.0,0.9822691538052335
3312.0,0.01,1.0,0.9822691538052335
3313.0,0.01,1.0,0.9822691538052335
3314.0,0.01,1.0,0.9822691538052335
3315.0,0.01,1.0,0.9822691538052335
3316.0,0.01,1.0,0.9822691538052335
3317.0,0.01,1.0,0.9822691538052335
3318.0,0.01,1.0,0.9822691538052335
3319.0,0.01,1.0,0.9822691538052335
3320.0,0.01,1.0,0.9822691538052335
3321.0,0.01,1.0,0.9822691538052335
3322.0,0.01,1.0,0.9822691538052335
3323.0,0.01,1.0,0.9822691538052335
3324.0,0.01,1.0,0.9822691538052335
3325.0,0.01,1.0,0.9822691538052335
3326.0,0.01,1.0,0.9822691538052335
3327.0,0.01,1.0,0.9822691538052335
3328.0,0.01,1.0,0.9822691538052335
3329.0,0.01,1.0,0.9822691538052335
3330.0,0.01,1.0,0.9822691538052335
3331.0,0.01,1.0,0.9822691538052335
3332.0,0.01,1.0,0.9822691538052335
3333.0,0.01,1.0,0.9822691538052335
3334.0,0.01,1.0,0.9822691538052335
3335.0,0.01,1.0,0.9822691538052335
3336.0,0.01,1.0,0.9822691538052335
3337.0,0.01,1.0,0.9822691538052335
3338.0,0.01,1.0,0.9822691538052335
3339.0,0.01,1.0,0.9822691538052335
3340.0,0.01,1.0,0.9822691538052335
3341.0,0.01,1.0,0.9822691538052335
3342.0,0.01,1.0,0.9822691538052335
3343.0,0.01,1.0,0.9822691538052335
3344.0,0.01,1.0,0.9822691538052335
3345.0,0.01,1.0,0.9822691538052335
3346.0,0.01,1.0,0.9822691538052335
3347.0,0.01,1.0,0.9822691538052335
3348.0,0.01,1.0,0.9822691538052335
3349.0,0.01,1.0,0.9822691538052335
3350.0,0.01,1.0,0.9822691538052335
3351.0,0.01,1.0,0.9822691538052335
3352.0,0.01,1.0,0.9822691538052335
3353.0,0.01,1.0,0.9822691538052335
3354.0,0.01,1.0,0.9822691538052335
3355.0,0.01,1.0,0.9822691538052335
3356.0,0.01,1.0,0.9822691538052335
3357.0,0.01,1.0,0.9822691538052335
3358.0,0.01,1.0,0.9822691538052335
3359.0,0.01,1.0,0.9822691538052335
3360.0,0.01,1.0,0.9822691538052335
3361.0,0.01,1.0,0.9822691538052335
3362.0,0.01,1.0,0.9822691538052335
3363.0,0.01,1.0,0.9822691538052335
3364.0,0.01,1.0,0.9822691538052335
3365.0,0.01,1.0,0.9822691538052335
3366.0,0.01,1.0,0.9822691538052335
3367.0,0.01,1.0,0.9822691538052335
3368.0,0.01,1.0,0.9822691538052335
3369.0,0.01,1.0,0.9822691538052335
3370.0,0.01,1.0,0.9822691538052335
3371.0,0.01,1.0,0.9822691538052335
3372.0,0.01,1.0,0.9822691538052335
3373.0,0.01,1.0,0.9822691538052335
3374.0,0.01,1.0,0.9822691538052335
3375.0,0.01,1.0,0.9822691538052335
3376.0,0.01,1.0,0.9822691538052335
3377.0,0.01,1.0,0.9822691538052335
3378.0,0.01,1.0,0.9822691538052335
3379.0,0.01,1.0,0.9822691538052335
3380.0,0.01,1.0,0.9822691538052335
3381.0,0.01,1.0,0.9822691538052335
3382.0,0.01,1.0,0.9822691538052335
3383.0,0.01,1.0,0.9822691538052335
3384.0,0.01,1.0,0.9822691538052335
3385.0,0.01,1.0,0.9822691538052335
3386.0,0.01,1.0,0.9822691538052335
3387.0,0.01,1.0,0.9822691538052335
3388.0,0.01,1.0,0.9822691538052335
3389.0,0.01,1.0,0.9822691538052335
3390.0,0.01,1.0,0.9822691538052335
3391.0,0.01,1.0,0.9822691538052335
3392.0,0.01,1.0,0.9822691538052335
3393.0,0.01,1.0,0.9822691538052335
3394.0,0.01,1.0,0.9822691538052335
3395.0,0.01,1.0,0.9822691538052335
3396.0,0.01,1.0,0.9822691538052335
3397.0,0.01,1.0,0.9822691538052335
3398.0,0.01,1.0,0.9822691538052335
3399.0,0.01,1.0,0.9822691538052335
3400.0,0.01,1.0,0.9822691538052335
3401.0,0.01,1.0,0.9822691538052335
3402.0,0.01,1.0,0.9822691538052335
3403.0,0.01,1.0,0.9822691538052335
3404.0,0.01,1.0,0.9822691538052335
3405.0,0.01,1.0,0.9822691538052335
3406.0,0.01,1.0,0.9822691538052335
3407.0,0.01,1.0,0.9822691538052335
3408.0,0.01,1.0,0.9822691538052335
3409.0,0.01,1.0,0.9822691538052335
3410.0,0.01,1.0,0.9822691538052335
3411.0,0.01,1.0,0.9822691538052335
3412.0,0.01,1.0,0.9822691538052335
3413.0,0.01,1.0,0.9822691538052335
3414.0,0.01,1.0,0.9822691538052335
3415.0,0.01,1.0,0.9822691538052335
3416.0,0.01,1.0,0.9822691538052335
3417.0,0.01,1.0,0.9822691538052335
3418.0,0.01,1.0,0.9822691538052335
3419.0,0.01,1.0,0.9822691538052335
3420.0,0.01,1.0,0.9822691538052335
3421.0,0.01,1.0,0.9822691538052335
3422.0,0.01,1.0,0.9822691538052335
3423.0,0.01,1.0,0.9822691538052335
3424.0,0.01,1.0,0.9822691538052335
3425.0,0.01,1.0,0.9822691538052335
3426.0,0.01,1.0,0.9822691538052335
3427.0,0.01,1.0,0.9822691538052335
3428.0,0.01,1.0,0.9822691538052335
3429.0,0.01,1.0,0.9822691538052335
3430.0,0.01,1.0,0.9822691538052335
3431.0,0.01,1.0,0.9822691538052335
3432.0,0.01,1.0,0.9822691538052335
3433.0,0.01,1.0,0.9822691538052335
3434.0,0.01,1.0,0.9822691538052335
3435.0,0.01,1.0,0.9822691538052335
3436.0,0.01,1.0,0.9822691538052335
3437.0,0.01,1.0,0.9822691538052335
3438.0,0.01,1.0,0.9822691538052335
3439.0,0.01,1.0,0.9822691538052335
3440.0,0.01,1.0,0.9822691538052335
3441.0,0.01,1.0,0.9822691538052335
3442.0,0.01,1.0,0.9822691538052335
3443.0,0.01,1.0,0.9822691538052335
3444.0,0.01,1.0,0.9822691538052335
3445.0,0.01,1.0,0.9822691538052335
3446.0,0.01,1.0,0.9822691538052335
3447.0,0.01,1.0,0.9822691538052335
3448.0,0.01,1.0,0.9822691538052335
3449.0,0.01,1.0,0.9822691538052335
3450.0,0.01,1.0,0.9822691538052335
3451.0,0.01,1.0,0.9822691538052335
3452.0,0.01,1.0,0.9822691538052335
3453.0,0.01,1.0,0.9822691538052335
3454.0,0.01,1.0,0.9822691538052335
3455.0,0.01,1.0,0.9822691538052335
3456.0,0.01,1.0,0.9822691538052335
3457.0,0.01,1.0,0.9822691538052335
3458.0,0.01,1.0,0.9822691538052335
3459.0,0.01,1.0,0.9822691538052335
3460.0,0.01,1.0,0.9822691538052335
3461.0,0.01,1.0,0.9822691538052335
3462.0,0.01,1.0,0.9822691538052335
3463.0,0.01,1.0,0.9822691538052335
3464.0,0.01,1.0,0.9822691538052335
3465.0,0.01,1.0,0.9822691538052335
3466.0,0.01,1.0,0.9822691538052335
3467.0,0.01,1.0,0.9822691538052335
3468.0,0.01,1.0,0.9822691538052335
3469.0,0.01,1.0,0.9822691538052335
3470.0,0.01,1.0,0.9822691538052335
3471.0,0.01,1.0,0.9822691538052335
3472.0,0.01,1.0,0.9822691538052335
3473.0,0.01,1.0,0.9822691538052335
3474.0,0.01,1.0,0.9822691538052335
3475.0,0.01,1.0,0.9822691538052335
3476.0,0.01,1.0,0.9822691538052335
3477.0,0.01,1.0,0.9822691538052335
